"024","【廃止】ﾆｯﾄ外販","1945","","","894","611","","00","","20100928","","20100928","221508","20180221","010001","","01","","","","","611","501","894","","201002","","","01","030","01","","01","01","","","20101026","","","","","20180220","20180220","20180220","","20101026","","","20180220","20180220","20101026","        ","20101026","20180220","","","","","","","","","","","","","","","","","","","","","01","20180220","","","","","","","","","","","","","","","","","","","20180220","","","","","","","HD(その他)","","W（HD）","ﾌｧｸﾄﾘｰPJT"
"025","ﾋﾞﾙﾀﾞｼﾞｭｰﾙ","4044","01","000","025","213","625","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","025","0001","200401","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","20010515","20040117","20010716","","20180220","20180220","        ","20040117","        ","20180220","","1","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","ビルダジユ－ル","","ﾋﾞﾙﾀﾞｼﾞﾕ-ﾙ","","WAM（卸）","","WAM（卸）","ｲﾝﾃﾚｸｼｮﾝ"
"026","【廃止】Glossy RougeAP","1920","","","026","671","","00","","20090917","","20090917","221505","20180221","010001","","01","","","","","671","513","026","","201101","","","82","082","01","","01","01","","","20110210","","","","","20180220","20180220","20180220","","20110210","","","20180220","20180220","20110210","        ","20110210","20180220","","","01","","","","","","","","","","","","","","","","","","23","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","","","","","INL（SC）","","INL（SC）","ｸﾞﾛｯｼｰﾙｰｼﾞｭ"
"027","INDIVIドロップシップ","9103","","000","999","288","","00","","20010207","","20010207","200550","20180221","010001","","","00","","","00","288","999","999","","","","","01","990","","","","03","","","","","","","20040520","20180220","20180220","20180220","","","","","20180220","20180220","","","","20180220","","","","02","","","","","","","01","","","","","","","","","","39","20180220","","","","","","","","","","","","","","","","","","","20180220","","","ダイ１アクセサリ－　＃","","","","廃止","","W（HD）","【廃止】ｿﾉﾀBR1"
"028","aquagirl WEAR買付け","2005","23","000","078","653","698","00","","20000510","99999999","20000620","143000","20180221","010001","","01","00","","","00","653","512","078","","200302","","0001","81","081","01","","01","01","","","20031105","","","","20040520","20180220","20180220","20180220","","20031105","","20010810","20180220","20180220","20031105","        ","20031105","20180220","","","01","","01","","","","","","","","","","","","","","","","22","20180220","20120730","","20081006","","","","","","","","","","","","","","","","20180220","Aquagirl Buying","","Ｂ－ＡＱＵＡＧＩＲＬ","","AQUAGIRLｳｴｱB","","INT（セレクト）","","INT（セレクト）","ｱｸｱｶﾞｰﾙ"
"029","ﾘﾆｱ","6285","01","000","000","213","613","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","000","0001","200401","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","20010515","20040117","20010716","","20180220","20180220","        ","20040117","        ","20180220","","1","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","リニア","","ﾘﾆｱ","","WAM（卸）","","WAM（卸）","ｺﾙﾃﾞｨｱ（卸）"
"030","ｼﾞｵ","4044","01","000","025","213","630","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","025","0001","200401","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","20010820","20040117","20010716","","20180220","20180220","        ","20040117","        ","20180220","","1","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","ジ　オ","","ｼﾞ ｵ","","WAM（卸）","","WAM（卸）","ｲﾝﾃﾚｸｼｮﾝ"
"031","ｼﾞｵｽﾎﾟｰﾂ","4011","01","000","021","213","631","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","021","0001","200401","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","20010529","20040117","20010716","","20180220","20180220","        ","20040117","        ","20180220","","1","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","ジオスポ－ツ","","ｼﾞｵｽﾎﾟ-ﾂ","","WAM（卸）","","WAM（卸）","ﾙｲｼｬﾝﾀﾝ"
"032","ｻﾝｸｴﾑｾｿﾞﾝ","4044","01","000","025","213","642","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","025","","200302","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","","20031105","20010716","","20180220","20180220","        ","20031105","        ","20180220","","9","","","","","","","","","","","","","","","","","","","07","20180220","","","","","","","","","","","","","","","","","","","20180220","","","サンクエムセゾン","","ｻﾝｸｴﾑｾｿﾞﾝ","","WAM（卸）","","WAM（卸）","ｲﾝﾃﾚｸｼｮﾝ"
"033","ｽﾁｪｯｿ","6295","01","000","000","213","642","00","","20000510","99999999","20000620","143000","20180221","010001","","","00","","","00","213","510","000","0001","200401","0001","","07","007","","0001","","02","","","        ","","","","20040520","20180220","20180220","20180220","20010817","20040117","20010716","","20180220","20180220","        ","20040117","        ","20180220","","1","01","","","","","","","","","","","","","","","","","","07","20180220","20120730","","","","","","","","","","","","","","","","","","20180220","","","スチエツソ","","ｽﾁｴﾂｿ","","WAM（卸）","","WAM（卸）","LIZA（卸）"
