"1190","2111  ","ANECDOTE","1143","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13031","unicage","20180227","1","20180227","unicage","20180227"
"1191","2112  ","axes femme","1143","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13032","unicage","20180227","1","20180227","unicage","20180227"
"1192","2113  ","Afternoon Tea LIVING","1144","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13033","unicage","20180227","1","20180227","unicage","20180227"
"1193","2114  ","Cream chroma","1145","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13034","unicage","20180227","1","20180227","unicage","20180227"
"1194","2115  ","GRACE CONTINENTAL","1146","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13035","unicage","20180227","1","20180227","unicage","20180227"
"1195","2116  ","KILIWATCH marche ","1147","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13036","unicage","20180227","1","20180227","unicage","20180227"
"1196","2117  ","Hanky Panky","1148","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13037","unicage","20180227","1","20180227","unicage","20180227"
"1197","2118  ","Akakura","1149","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13038","unicage","20180227","1","20180227","unicage","20180227"
"1198","2119  ","Bamboo Grass","1150","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13039","unicage","20180227","1","20180227","unicage","20180227"
"1199","2120  ","MAISON GILFY","1151","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13040","unicage","20180227","1","20180227","unicage","20180227"
"1200","2121  ","SERGIO TACCHINI","1152","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13041","unicage","20180227","1","20180227","unicage","20180227"
"1201","2122  ","ASTORIA ODIER","1153","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13042","unicage","20180227","1","20180227","unicage","20180227"
"1202","2123  ","AS KNOW AS","1596","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13043","unicage","20180227","1","20180227","unicage","20180227"
"1203","2124  ","as know as de base","1596","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13044","unicage","20180227","1","20180227","unicage","20180227"
"1204","2125  ","NANASHI","1596","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","c","13045","unicage","20180227","1","20180227","unicage","20180227"
"1205","2126  ","7BRIDGE","1155","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13046","unicage","20180227","1","20180227","unicage","20180227"
"1206","2127  ","EASTEND GIRLS","1156","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13047","unicage","20180227","1","20180227","unicage","20180227"
"1207","2128  ","ANAP","1157","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13048","unicage","20180227","1","20180227","unicage","20180227"
"1208","2129  ","anis","1158","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13049","unicage","20180227","1","20180227","unicage","20180227"
"1209","2130  ","ABAHOUSE","1159","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13050","unicage","20180227","1","20180227","unicage","20180227"
"1210","2131  ","alfredo BANNISTER","1159","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13051","unicage","20180227","1","20180227","unicage","20180227"
"1211","2132  ","DESIGNWORKS","1159","2010/08/03 20:18:29","system  ","2010/08/03 20:18:29","system  ","a","13052","unicage","20180227","1","20180227","unicage","20180227"
