"76","2950","新潟交通G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"77","3330","ﾀﾞｲﾔﾓﾝﾄﾞ地下街G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"78","3340","南海鉄道G","ﾅﾝｶｲﾃﾂﾄﾞｳ","2010-05-14 19:38:24","system  ","2014-02-06 10:28:54","13001861","c"
"79","3360","大阪地下街G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"80","3400","天神地下街G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"81","3410","札幌都市開発公社G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"82","3430","札幌地下開発公社G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"83","3590","三菱地所G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"84","3950","神戸市G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"85","3990","西日本鉄道G","ﾆｼﾆﾎﾝﾃﾂﾄﾞｳ","2010-05-14 19:38:24","system  ","2014-02-06 10:29:15","13001861","c"
"86","5240","ｺｸﾄﾞG","ｺｸﾄﾞｼﾞｰ","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"87","5360","住友商事G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"88","5440","西沢G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"89","5911","三井不動産G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"90","5940","ｵﾘｴﾝﾀﾙﾗﾝﾄﾞG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"91","5970","ｴﾌ･ｼﾞｪｲ都市開発G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"92","6010","八ヶ岳ﾓｰﾙﾏﾈｰｼﾞﾒﾝﾄG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
