"60","WP2","ＷＰ２","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","csk-patch","20070604185622","1","20180223","",""
"61","Tｷｭｰﾌﾞ","Ｔキューブ","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","CSK PATCH","20071011181029","1","20180223","",""
"62","ｲﾝﾀﾞｽﾄﾘｰ","インダストリー","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"63","ｲﾝﾀﾞｰｺﾞｼｷ","インダーゴシキ","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"64","ｲﾝﾀﾞｰﾐﾔｻﾞｷ","インダーミヤザキ","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"65","ｲﾝﾀﾞｰﾏﾂﾓﾄ","インダーマツモト","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","","","1","20180223","",""
"66","ｲﾝﾀﾞｽﾄﾘｰﾌｸｼﾏ","インダストリーフクシマ","","","","","","","0000000000","","11002","0","0","IKO","20060106235939","会社M.xls","","csk-patch","20070604185622","1","20180223","",""
"67","ﾜｰﾙﾄﾞｼﾞｬｰｼﾞｻﾌﾟﾗｲ","ワールドジャージサプライ","","","","","","","0000000000","","11002","0","0","csk-patch","20070604185622","J200705-103-CSK","","","","1","20180223","",""
"68","ﾎﾝﾀﾞｾﾝｺｳ","ホンダセンコウ","","","","","","","0000000000","","11002","0","0","csk-patch","20070604185622","J200705-103-CSK","","","","1","20180223","",""
"69","ﾜｰﾙﾄﾞｲﾝﾀﾞｽﾄﾘｰﾄﾔﾏ","ワールドインダストリー富山","","","","","","","0000000000","","11002","0","1","CSK PATCH","20080610150954","J200806-032-CSK","","PATCH SCSK","20130821191711","1","20180223","",""
"70","ｸﾞﾛｰﾊﾞﾙｶﾞｰﾒﾝﾄｻｰﾋﾞｽ","（株）グローバルガーメントサービス","","","","","","","0000000000","","11002","0","0","PATCH CSK","20090122105131","J200901-113-CSK","","","","1","20180223","",""
"71","ﾎｰﾙﾌｧｸﾄﾘｰ","株式会社ホールファクトリー","","","","","","","0000000000","","11002","0","0","CSK PATCH","20090406183653","J200904-027-CSK","","","","1","20180223","",""
"72","ﾘﾄﾞｰ","株式会社リドー","","","","","","","0000000000","","11002","0","0","CSK PATCH","20090406183657","J200904-027-CSK","","","","1","20180223","",""
"73","ﾜｰﾙﾄﾞｲﾝﾀﾞｽﾄﾘｰﾌｧﾌﾞﾘｯｸ","ワールドインダストリーファブリック","","","","","","","0000000000","","11002","0","0","PATCH CSK","20100707094755","J201007-XXX-CSK","","PATCH CSK","20100707094755","1","20180223","",""
"74","ﾜｰﾙﾄﾞｲﾝﾀﾞｽﾄﾘｰﾆｯﾄ","ワールドインダストリーニット","","","","","","","0000000000","","11002","0","0","PATCH CSK","20100707094756","J201007-XXX-CSK","","PATCH CSK","20100707094756","1","20180223","",""
"75","ﾜｰﾙﾄﾞｲﾝﾀﾞｽﾄﾘｰﾏﾂﾓﾄ","ワールドインダストリー松本","","","","","","","0000000000","","11002","0","0","PATCH CSK","20100707094758","J201007-XXX-CSK","","PATCH CSK","20100707094758","1","20180223","",""
"76","ﾌﾚﾝﾁﾌﾞﾙｰ","フレンチブルー","","","","","","","0000000000","","11002","0","0","PATCH CSK","20100712095835","J201007-XXX-CSK","","PATCH CSK","20100712095835","1","20180223","",""
"77","Jﾌｧﾌﾞﾘｯｸ･ｲﾝﾀｰﾅｼｮﾅﾙ","Ｊファブリック・インターナショナル","","","","","","","0000000000","","11002","0","0","CSK PATCH","20110331141616","J20110331-XXX-CSK","","CSK PATCH","20110331141616","1","20180223","",""
